Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,orig.id
2024,1,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14307,10821,PVD,BWI,418,176,200.74,WN,0.9994,200.72,WN,0.9994,200.72,491
2024,1,33570,30852,"San Diego, CA","Washington, DC (Metropolitan Area)",14679,11278,SAN,DCA,2295,343,310.57,AA,0.4971,320.17,WN,0.1903,264.27,1814
2024,1,30397,32575,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",10397,13891,ATL,ONT,1947,307,344.03,DL,0.5831,411.3,F9,0.1512,135.77,252
2024,1,32337,33195,"Indianapolis, IN","Tampa, FL (Metropolitan Area)",12339,15304,IND,TPA,840,838,196.05,WN,0.6184,220.33,NK,0.2698,101.6,1370
2024,1,30868,30852,"Columbia, SC","Washington, DC (Metropolitan Area)",10868,12264,CAE,IAD,438,56,215.36,UA,0.9412,212.22,UA,0.9412,212.22,678
2024,1,34685,30852,"Savannah, GA","Washington, DC (Metropolitan Area)",14685,11278,SAV,DCA,549,167,240.06,AA,0.8864,233.1,UA,0.0151,230.98,1885
2024,1,30977,30325,"Chicago, IL","Denver, CO",13232,11292,MDW,DEN,895,848,150.56,WN,0.8354,158.78,F9,0.1553,102.04,689
2024,1,30194,34492,"Dallas/Fort Worth, TX","Raleigh/Durham, NC",11259,14492,DAL,RDU,1061,185,218.65,WN,0.9395,214.46,WN,0.9395,214.46,155
2024,1,34986,30852,"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)",14986,11278,SRQ,DCA,880,197,220.34,AA,0.8341,223.78,WN,0.0832,154.41,1888
2024,1,32211,32457,"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",12889,14771,LAS,SFO,414,2301,183.22,UA,0.3569,241.7,F9,0.1367,105.82,1337
2024,1,31650,31703,"Minneapolis/St. Paul, MN","New York City, NY (Metropolitan Area)",13487,12391,MSP,ISP,1057,2,221.73,WN,1,221.73,WN,1,221.73,1110
2024,1,32457,30852,"San Francisco, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14771,11278,SFO,DCA,2457,647,380.77,AS,0.3534,343.08,AA,0.1121,336.72,1387
2024,1,32575,31123,"Los Angeles, CA (Metropolitan Area)","St. Louis, MO",10800,15016,BUR,STL,1592,39,301.27,WN,0.7019,278.41,WN,0.7019,278.41,1522
2024,1,31453,31454,"Houston, TX","Orlando, FL",12191,13204,HOU,MCO,854,699,188.53,WN,0.9447,190.01,F9,0.0396,95.53,985
2024,1,31703,32457,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",12391,13796,ISP,OAK,2608,1,349.39,WN,0.9,315.33,WN,0.9,315.33,1166
2024,1,30977,32457,"Chicago, IL","San Francisco, CA (Metropolitan Area)",13930,14831,ORD,SJC,1855,124,324.56,UA,0.6519,344.49,WN,0.1421,248.43,748
2024,1,32575,33214,"Los Angeles, CA (Metropolitan Area)","San Antonio, TX",14908,14683,SNA,SAT,1211,100,309.54,WN,0.4234,303.25,WN,0.4234,303.25,1608
2024,1,30423,30194,"Austin, TX","Dallas/Fort Worth, TX",10423,11259,AUS,DAL,190,364,196.4,WN,0.9997,196.39,WN,0.9997,196.39,259
2024,1,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",12892,15304,LAX,TPA,2158,950,297.78,DL,0.3783,338.73,AA,0.2952,265.01,1600
2024,1,31703,33570,"New York City, NY (Metropolitan Area)","San Diego, CA",11618,14679,EWR,SAN,2481,982,331.25,UA,0.7659,344.71,AS,0.1355,256.33,1194
2024,1,31453,33495,"Houston, TX","New Orleans, LA",12191,13495,HOU,MSY,305,560,189,WN,0.9996,188.98,WN,0.9996,188.98,1043
2024,1,30194,34570,"Dallas/Fort Worth, TX","Reno, NV",11259,14570,DAL,RNO,1356,56,260.44,WN,0.9961,260.61,WN,0.9961,260.61,159
2024,1,33105,30466,"Cincinnati, OH","Phoenix, AZ",11193,10466,CVG,AZA,1569,36,127.96,G4,1,127.96,G4,1,127.96,1708
2024,1,30721,30977,"Boston, MA (Metropolitan Area)","Chicago, IL",10721,13232,BOS,MDW,867,340,149.86,WN,0.9832,148.64,WN,0.9832,148.64,494
2024,1,30194,33044,"Dallas/Fort Worth, TX","Louisville, KY",11298,14730,DFW,SDF,733,347,245.85,AA,0.9532,246.46,UA,0.0174,229.73,121
2024,1,30721,34492,"Boston, MA (Metropolitan Area)","Raleigh/Durham, NC",14307,14492,PVD,RDU,625,150,140.86,MX,0.5516,88.36,MX,0.5516,88.36,621
2024,1,31453,30198,"Houston, TX","Pittsburgh, PA",12191,14122,HOU,PIT,1131,129,251.85,WN,0.9558,247.72,WN,0.9558,247.72,966
2024,1,31453,32575,"Houston, TX","Los Angeles, CA (Metropolitan Area)",12191,12954,HOU,LGB,1390,267,186.67,WN,0.9988,186.67,WN,0.9988,186.67,1015
2024,1,30194,34262,"Dallas/Fort Worth, TX","Palm Springs, CA",11298,14262,DFW,PSP,1137,213,375.36,AA,0.9768,375.18,UA,0.0155,334.7,154
2024,1,30849,32575,"Bozeman, MT","Los Angeles, CA (Metropolitan Area)",10849,12892,BZN,LAX,908,234,237.61,UA,0.3634,247.91,AS,0.1053,169.55,669
2024,1,30436,30852,"Tucson, AZ","Washington, DC (Metropolitan Area)",15376,12264,TUS,IAD,1976,61,414.79,UA,0.4936,472.72,AA,0.2777,354.02,295
2024,1,30977,30559,"Chicago, IL","Seattle, WA",13232,14747,MDW,SEA,1733,102,208.42,WN,0.9493,207.08,F9,0.0259,156.42,697
2024,1,33342,30852,"Milwaukee, WI","Washington, DC (Metropolitan Area)",13342,11278,MKE,DCA,641,299,187.07,WN,0.693,170.47,WN,0.693,170.47,1787
2024,1,30647,30194,"Cleveland, OH (Metropolitan Area)","Dallas/Fort Worth, TX",11042,11298,CLE,DFW,1023,522,278.65,AA,0.8128,297.23,F9,0.0893,100.32,373
2024,1,31453,33158,"Houston, TX","Midland/Odessa, TX",12266,13158,IAH,MAF,441,380,301.04,UA,0.9462,305.6,WN,0.026,203.11,1028
2024,1,30721,31453,"Boston, MA (Metropolitan Area)","Houston, TX",10721,12266,BOS,IAH,1609,956,270.63,UA,0.6485,292.14,B6,0.2154,222.35,522
2024,1,33198,31703,"Kansas City, MO","New York City, NY (Metropolitan Area)",13198,12197,MCI,HPN,1148,11,261.74,AA,0.5196,229.37,AA,0.5196,229.37,1744
2024,1,30977,31453,"Chicago, IL","Houston, TX",13232,12191,MDW,HOU,945,666,193.89,WN,0.9911,193.98,WN,0.9911,193.98,720
2024,1,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",11259,14122,DAL,PIT,1067,117,224.91,WN,0.9747,221.12,WN,0.9747,221.12,35
2024,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",11298,14908,DFW,SNA,1246,1003,313.86,AA,0.849,336.11,NK,0.0111,104.46,115
2024,1,31066,32457,"Columbus, OH","San Francisco, CA (Metropolitan Area)",11066,13796,CMH,OAK,2120,39,227.9,WN,0.8039,245.3,NK,0.1737,133.35,883
2024,1,30721,31703,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",14307,11618,PVD,EWR,209,25,241.1,UA,0.9956,241.27,UA,0.9956,241.27,542
2024,1,30977,33851,"Chicago, IL","Oklahoma City, OK",13930,13851,ORD,OKC,693,169,256.89,AA,0.5859,261.3,UA,0.3809,249.42,789
2024,1,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",12954,14747,LGB,SEA,978,57,166.26,WN,0.8835,163.86,WN,0.8835,163.86,1499
2024,1,32575,32457,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",13891,14771,ONT,SFO,372,321,165.23,UA,0.6767,194.85,F9,0.2836,95.07,1574
