"","year","quarter","statecode1","mean.miles","median.miles","sd.miles","min.miles","max.miles","iqr.miles","q1.miles","q3.miles"
"186",2020,1,"NM",1145.70833333333,896,543.299299303053,328,1861,1040.75,677,1717.75
"187",2020,1,"NV",1266.66666666667,1984,979.691945303373,192,2282,1938,236,2174
"188",2020,1,"NY",1284.19178082192,1077,889.870601729287,222,2619,1881,337,2218
"189",2020,1,"OH",1123.35766423358,948,647.578733996041,314,2187,1381,519,1900
"190",2020,1,"OK",1093.25,1180,173.5,833,1180,86.75,1093.25,1180
"191",2020,1,"OR",1097.63157894737,776,695.710844350847,569,2497,220,751,971
"192",2020,1,"PA",1443.06666666667,970,917.260787552238,210,2521,1376,878,2254
"193",2020,1,"SC",799.434782608696,645,515.013555470961,426,2206,76,601,677
"194",2020,1,"TN",869.275,787,374.657928598259,465,1969,325.25,676.75,1002
"195",2020,1,"TX",1042.31654676259,1105,428.975372900987,148,1894,687.75,715,1402.75
"196",2020,1,"UT",1325.71428571429,1865,679.827604197249,599,1888,1266,599,1865
"197",2020,1,"VA",1069.33333333333,726,715.277393743155,662,2330,5,726,731
"198",2020,1,"VT",341,266,93.5414346693485,266,441,175,266,441
"199",2020,1,"WA",1406.16666666667,1008,733.442423015459,728,2520,1397,938,2335
"200",2020,1,"WI",1007.19047619048,850,408.3532317795,641,1845,298,777,1075
"201",2020,1,"WY",1339.5,1339.5,584.494320854456,785,1894,1109,785,1894
"202",2020,2,"AL",1008.61111111111,671.5,549.935305167145,570,1815,1084,641,1725
"203",2020,2,"AR",1432.5,1432.5,65.7462655104564,1371,1494,123,1371,1494
"204",2020,2,"AZ",1213.11764705882,1081.5,547.061503644749,304,1999,1095.75,711.75,1807.5
"205",2020,2,"CA",1597.64728682171,1756,766.247465647546,370,2510,1395,935,2330
"206",2020,2,"CO",1281.44,1491,382.208612322294,602,1709,776,883,1659
"207",2020,2,"CT",1778.70588235294,2213,892.066544932739,326,2625,1333,1194,2527
"208",2020,2,"DC",883,883,0,883,883,0,883,883
"209",2020,2,"FL",1352.09243697479,1102,691.383873744911,192,2724,1242,846,2088
"210",2020,2,"GA",973.421052631579,731,583.430471624926,406,2139,375,577,952
"211",2020,2,"IA",1299.18181818182,1252,147.683999256398,1127,1447,298,1149,1447
"212",2020,2,"ID",993.3125,696,573.7327738881,523,2059,594,688,1282
"213",2020,2,"IL",995.709677419355,864,492.627661209268,235,1855,795,645,1440
"214",2020,2,"IN",1187.11111111111,973,523.367302506885,516,1943,1113,701,1814
"215",2020,2,"KY",748.5,703,253.098263070355,495,1506,30,699,729
"216",2020,2,"LA",1277.30769230769,1218,416.317664093055,488,1911,302,998,1300
"217",2020,2,"MA",1362.10429447853,1204,802.242294404914,200,2704,1416.5,688.5,2105
"218",2020,2,"ME",924,885,474.06581821515,493,1394,871.75,493,1364.75
"219",2020,2,"MI",1266.38235294118,1118.5,619.209271654896,409,2079,1334,540,1874
"220",2020,2,"MN",1189.41666666667,1029,268.951316423736,936,1589,371,1005.75,1376.75
"221",2020,2,"MO",1128.66666666667,1148,235.999837027323,738,1499,396,967,1363
"222",2020,2,"MT",878,878,0,878,878,0,878,878
"223",2020,2,"NC",1080.65714285714,599,803.960452014501,255,2400,1584,541,2125
"224",2020,2,"ND",1161.33333333333,1165,58.6537864648708,1094,1225,98.25,1111.75,1210
"225",2020,2,"NE",1075.57142857143,1037,78.3535941376381,1025,1190,88.5,1025,1113.5
"226",2020,2,"NM",1080.68181818182,896,519.73870599641,328,1861,993,677,1670
"227",2020,2,"NV",1401,2106,956.826457391944,236,2282,1925,276,2201
"228",2020,2,"NY",1496.20472440945,1225,820.859541168103,229,2608,1493,929,2422
"229",2020,2,"OH",1222.45,1021.5,620.883672916367,314,2187,1140,776,1916
"230",2020,2,"OK",1160.09090909091,1180,173.547949884437,833,1384,211,1071,1282
"231",2020,2,"OR",1091.45,776,676.957704890436,569,2497,220,751,971
"232",2020,2,"PA",1631.42857142857,1522.5,748.594756787749,878,2521,1340,914,2254
"233",2020,2,"SC",1182.52173913043,760,752.064528529609,426,2396,1510.75,601,2111.75
"234",2020,2,"TN",1078.48780487805,803,519.231023820381,550,1969,794,655,1449
"235",2020,2,"TX",1036.7880794702,1067,420.330483950222,190,1894,696,694,1390
"236",2020,2,"UT",1325.71428571429,1865,679.827604197249,599,1888,1266,599,1865
"237",2020,2,"VA",1570,1382,811.999261083408,662,2520,1706,731,2437
"238",2020,2,"WA",1801.71428571429,2335,727.621860191523,977,2520,1280,1055,2335
"239",2020,2,"WI",1098.8125,777,470.236283691508,641,1845,686,777,1463
"240",2020,3,"AL",940.315789473684,661,538.29443127051,570,1815,651.5,597,1248.5
"241",2020,3,"AR",1439.33333333333,1494,64.8266920334518,1371,1494,123,1371,1494
"242",2020,3,"AZ",1183.14285714286,1081,572.574220599599,304,1999,1165.25,668,1833.25
"243",2020,3,"CA",1580.30188679245,1735,764.132975321507,370,2510,1470,859,2329
"244",2020,3,"CO",1254.92307692308,1491,398.148105415753,592,1709,791.75,867.25,1659
"245",2020,3,"CT",1727.69230769231,2527,992.271920444474,326,2625,1416,1111,2527
"246",2020,3,"DC",883,883,0,883,883,0,883,883
"247",2020,3,"FL",1351.99130434783,1068,710.115007928382,192,2724,1311,842,2153
"248",2020,3,"GA",973.421052631579,731,583.430471624926,406,2139,375,577,952
