"","year","quarter","lms_carrier_name","mean.marketshare","median.marketshare","sd.marketshare","min.marketshare","max.marketshare","iqr.marketshare","q1.marketshare","q3.marketshare"
"67",2020,3,"United Air Lines, Inc.",0.689990950226244,0.6794,0.196304400704394,0.2547,1,0.3498,0.5225,0.8723
"68",2020,4,"Alaska Airlines, Inc.",0.581655555555556,0.5599,0.181389176797072,0.2988,1,0.273025,0.42615,0.699175
"69",2020,4,"Allegiant Air LLC ",0.919890476190476,1,0.171420655692821,0.4184,1,0,1,1
"70",2020,4,"American Airlines, Inc.",0.717942905982906,0.715,0.224508013681682,0.2779,1,0.4283,0.5191,0.9474
"71",2020,4,"Delta Air Lines, Inc.",0.62424824120603,0.5874,0.193468991288851,0.2755,1,0.28445,0.48815,0.7726
"72",2020,4,"Frontier Airlines, Inc.",0.5645625,0.498,0.18846854938462,0.3591,0.8219,0.320825,0.4103,0.731125
"73",2020,4,"Jetblue Airways Corporation",0.621890196078431,0.5583,0.186494195357284,0.2239,0.9782,0.25135,0.50365,0.755
"74",2020,4,"Southwest Airlines",0.76752020033389,0.7953,0.201868576843987,0.2825,1,0.35935,0.61035,0.9697
"75",2020,4,"Spirit Airlines, Inc.",0.569846666666667,0.5625,0.218786647107133,0.2928,1,0.37595,0.3832,0.75915
"76",2020,4,"United Air Lines, Inc.",0.683741353383459,0.6819,0.208129200122957,0.2662,1,0.368225,0.5101,0.878325
"77",2021,1,"Alaska Airlines, Inc.",0.602195238095238,0.592,0.184081920253064,0.2624,1,0.25335,0.46915,0.7225
"78",2021,1,"Allegiant Air LLC ",0.928675342465753,1,0.188002720710826,0.3008,1,0,1,1
"79",2021,1,"American Airlines, Inc.",0.71859203539823,0.71,0.218363418021585,0.262,1,0.4159,0.5278,0.9437
"80",2021,1,"Delta Air Lines, Inc.",0.640741463414634,0.6283,0.192089570068811,0.2405,1,0.2936,0.4833,0.7769
"81",2021,1,"Frontier Airlines, Inc.",0.5216,0.5297,0.217494616025317,0.2474,0.7629,0.350925,0.354425,0.70535
"82",2021,1,"Jetblue Airways Corporation",0.617692452830189,0.5887,0.182307280593314,0.3153,0.9759,0.2035,0.5023,0.7058
"83",2021,1,"Southwest Airlines",0.763823089700997,0.7937,0.205924283085995,0.2742,1,0.381975,0.589275,0.97125
"84",2021,1,"Spirit Airlines, Inc.",0.6066,0.6608,0.227877936623974,0.2534,1,0.3191,0.40235,0.72145
"85",2021,1,"United Air Lines, Inc.",0.70063237704918,0.70985,0.196436162199939,0.2626,1,0.342475,0.54095,0.883425
"86",2021,2,"Alaska Airlines, Inc.",0.611816071428571,0.603,0.176335927115147,0.2387,1,0.2578,0.4732,0.731
"87",2021,2,"Allegiant Air LLC ",0.8898,1,0.208392637654432,0.3689,1,0.095125,0.904875,1
