"","year","quarter","lms_carrier_name","mean.fare","median.fare","sd.fare","min.fare","max.fare","iqr.fare","q1.fare","q3.fare"
"120",2022,1,"Compania Mexicana De Aviaci",127.62875,124.65,12.9361602135807,109.39,145.24,16.19,121.255,137.445
"121",2022,1,"Delta Air Lines, Inc.",228.628884297521,211.52,69.8879821497052,108.09,499.08,101.995,176.4475,278.4425
"122",2022,1,"Frontier Airlines, Inc.",163.865555555556,154,85.1041063970536,71,544,57.28,118.915,176.195
"123",2022,1,"Jetblue Airways Corporation",210.198181818182,199.99,54.7910154316195,108.35,336.99,67.6825,173.0425,240.725
"124",2022,1,"Southwest Airlines",200.244710365854,192.005,55.7025909184706,87.81,617.4,78.2175,156.25,234.4675
"125",2022,1,"Spirit Airlines, Inc.",162.699130434783,154.18,45.2456054031814,99.73,250.72,74.495,122.945,197.44
"126",2022,1,"Sun Country Airlines",333.926,392.67,192.872468304836,133.35,567,305.39,135.61,441
"127",2022,1,"United Air Lines, Inc.",237.432057761733,222.79,72.8935605475614,116.41,568.57,101.49,181.87,283.36
"128",2022,2,"Alaska Airlines, Inc.",269.540625,233.95,80.0851539195903,173.19,432.54,139.435,205.18,344.615
"129",2022,2,"Allegiant Air LLC ",130.872222222222,114.62,51.4570328571902,72.38,310.46,57.555,95.485,153.04
"130",2022,2,"American Airlines, Inc.",308.307254509018,287.07,97.433211163483,137.69,870,146.74,233.035,379.775
"131",2022,2,"Casino Express",114.093333333333,112.875,7.08009227811803,104.93,125.71,5.85499999999999,110.855,116.71
"132",2022,2,"Compania Mexicana De Aviaci",161.83375,157.85,21.2235771439622,127.88,199.79,17.87,152.9975,170.8675
"133",2022,2,"Delta Air Lines, Inc.",288.048085106383,262.95,98.4776866357092,113.4,653.5,145.635,204.965,350.6
"134",2022,2,"Frontier Airlines, Inc.",163.000285714286,145.78,65.1626657583888,76,346.55,70.66,122.55,193.21
"135",2022,2,"Jetblue Airways Corporation",241.863472222222,226.655,73.8115215472895,133.17,455.44,92.5525,186.68,279.2325
"136",2022,2,"Southwest Airlines",250.144262295082,235.74,88.4401778555378,89.45,825,110.62,187.105,297.725
"137",2022,2,"Spirit Airlines, Inc.",197.168684210526,171.215,72.7976180992525,104.72,339.05,107.1375,136.7075,243.845
"138",2022,2,"Sun Country Airlines",204.334,201,69.5454971942828,134.98,307,84.09,147.3,231.39
"139",2022,2,"United Air Lines, Inc.",289.870638297872,259.44,96.9385781665776,137.67,581.4,139.3575,212.135,351.4925
"140",2022,3,"Alaska Airlines, Inc.",270.6078,236.77,89.6300736995555,133.54,432.58,171.88,194.3725,366.2525
"141",2022,3,"Allegiant Air LLC ",133.766307692308,110.96,64.7770538937504,68.57,361,76.66,89.62,166.28
"142",2022,3,"American Airlines, Inc.",298.439079229122,282.56,88.4947831165766,152.13,861,115.515,234.195,349.71
"143",2022,3,"Casino Express",110.772,110.22,1.43185893159906,109.03,112.65,1.58,110.19,111.77
"144",2022,3,"Compania Mexicana De Aviaci",166.863333333333,152.015,61.7710712423238,114.56,355.34,20.145,142.36,162.505
"145",2022,3,"Delta Air Lines, Inc.",285.437260869565,267.635,94.435588310901,131.92,747.47,132.4125,210.0475,342.46
"146",2022,3,"Frontier Airlines, Inc.",149.94,141.455,57.3434537141858,73.72,278.42,85.24,106.6175,191.8575
"147",2022,3,"Jetblue Airways Corporation",222.303076923077,192.08,76.8737275017934,112.64,436.18,83.2175,170.6,253.8175
"148",2022,3,"Southwest Airlines",233.032437325905,220.655,74.0878594887098,99.16,654,95.76,177.6375,273.3975
"149",2022,3,"Spirit Airlines, Inc.",173.227804878049,156.71,63.4525943721845,89.39,319.81,73.61,124.53,198.14
"150",2022,3,"United Air Lines, Inc.",268.644440433213,241.41,88.8086746856072,131.7,615.29,109.81,204.17,313.98
"151",2022,4,"Alaska Airlines, Inc.",262.13306122449,244.87,75.7883618815163,142.35,412.21,136.29,201.52,337.81
"152",2022,4,"Allegiant Air LLC ",133.580566037736,120.26,43.9783045469841,74.4,259.16,50.61,101.32,151.93
"153",2022,4,"American Airlines, Inc.",309.951132897603,300.83,85.0077362882035,167,956.41,111.855,247.72,359.575
"154",2022,4,"Casino Express",131.37375,128.54,15.3179203525991,113.45,159.92,18.115,122.0375,140.1525
"155",2022,4,"Compania Mexicana De Aviaci",165.885714285714,174.195,28.804813891027,110.92,204.15,41.1025,146.3675,187.47
"156",2022,4,"Delta Air Lines, Inc.",285.983708920188,276.32,73.6842202254704,160.61,507.43,129.02,218.95,347.97
"157",2022,4,"Frontier Airlines, Inc.",149.599705882353,143.955,53.9457298832646,70.5,272.03,74.26,107.7775,182.0375
"158",2022,4,"Jetblue Airways Corporation",228.9668,204,74.1701165356973,120,513.89,82.435,177.225,259.66
"159",2022,4,"Southwest Airlines",238.307997159091,228.535,73.6592156732147,106.13,725,93.6650000000001,183.78,277.445
"160",2022,4,"Spirit Airlines, Inc.",183.844615384615,174.995,53.2755742329086,110.81,293.52,68.955,143.2525,212.2075
"161",2022,4,"Sun Country Airlines",244.22,242,115.263566663539,124.37,437,123.5375,156.2125,279.75
"162",2022,4,"United Air Lines, Inc.",268.717275747508,248.85,74.154885992453,143.81,570.22,104.13,210.22,314.35
"163",2023,1,"Alaska Airlines, Inc.",231.3074,212.79,54.7686504552913,143.89,352.96,80.985,194.75,275.735
"164",2023,1,"Allegiant Air LLC ",129.399642857143,118.97,42.4158126588009,58,241.81,54.875,100.5275,155.4025
"165",2023,1,"American Airlines, Inc.",296.674797441365,291.09,87.5625417599144,161.34,1018,103.12,235.09,338.21
"166",2023,1,"Casino Express",115.365,112.6,9.9718890601817,99.22,131.42,9.235,111.34,120.575
"167",2023,1,"Compania Mexicana De Aviaci",156.127692307692,153.69,35.428047070517,118.13,250.8,41.22,129.06,170.28
"168",2023,1,"Delta Air Lines, Inc.",273.736034482759,262.725,84.0999614237683,130.58,575,108.3725,210.345,318.7175
"169",2023,1,"Frontier Airlines, Inc.",151.679375,151.02,50.4165507858794,84,243.44,98.465,103.285,201.75
"170",2023,1,"Jetblue Airways Corporation",221.5744,205.26,66.6937749281158,122.26,431.65,77.8,171.525,249.325
"171",2023,1,"Southwest Airlines",224.935157421289,222.11,53.1831507397815,109.5,582,71.77,185.495,257.265
"172",2023,1,"Spirit Airlines, Inc.",181.8808,189.32,43.2746294919629,111.17,260.54,45.29,152.75,198.04
"173",2023,1,"Sun Country Airlines",170.275,170.275,30.8510688631691,148.46,192.09,21.815,159.3675,181.1825
"174",2023,1,"United Air Lines, Inc.",263.394722222222,250.045,76.8210562330329,143.82,620.32,100.5725,207.715,308.2875
"175",2023,2,"Alaska Airlines, Inc.",246.233125,211.83,74.5338053290928,166.68,431.63,129.6025,185.9025,315.505
"176",2023,2,"Allegiant Air LLC ",130.315789473684,118.2,48.9363833734081,62.95,286.49,74.31,90.76,165.07
"177",2023,2,"American Airlines, Inc.",299.578302325581,288.75,75.0757240950311,157.7,617.2,109.9975,239.7625,349.76
"178",2023,2,"Casino Express",129.953333333333,121.81,20.8635321793794,108.2,170.95,26.67,119.09,145.76
"179",2023,2,"Compania Mexicana De Aviaci",179.196470588235,162.445,76.994387945126,70.65,355.17,95.225,128.465,223.69
"180",2023,2,"Delta Air Lines, Inc.",285.28447257384,278.03,95.4977441312024,141.38,1069,120.97,215.13,336.1
"181",2023,2,"Frontier Airlines, Inc.",159.110303030303,149.07,54.6150480342213,85,304.36,69.79,115.17,184.96
"182",2023,2,"Jetblue Airways Corporation",227.048780487805,207.415,66.4535911465453,119.88,415.61,70.5575000000001,182.4675,253.025
"183",2023,2,"Southwest Airlines",243.845806916427,234.92,63.3784391543098,107.03,675,89.67,196.305,285.975
"184",2023,2,"Spirit Airlines, Inc.",174.701379310345,165.74,50.5929897546614,110.1,295.23,60.87,141.05,201.92
"185",2023,2,"Sun Country Airlines",247.34,232.54,98.1009051946005,157.48,352,97.26,195.01,292.27
"186",2023,2,"United Air Lines, Inc.",271.921025641026,249.93,76.756867404794,143.56,601.22,94.9,219.23,314.13
"187",2023,3,"Alaska Airlines, Inc.",241.297959183673,210.63,66.139687057633,146.37,379.2,108.26,185.64,293.9
"188",2023,3,"Allegiant Air LLC ",121.058148148148,102.86,50.9199141113741,63.21,323.49,48.14,88.9275,137.0675
"189",2023,3,"American Airlines, Inc.",278.630730593607,268.29,74.709307884566,94,711.43,92.18,229.11,321.29
"190",2023,3,"Casino Express",130.441111111111,123.03,16.3615085218665,110.11,154.24,24.83,117.82,142.65
"191",2023,3,"Compania Mexicana De Aviaci",162.468857142857,145.25,71.7257194732097,66.02,322.58,72.855,109.81,182.665
"192",2023,3,"Delta Air Lines, Inc.",266.153232758621,255.305,92.8111892436003,118.2,823.5,108.865,198.85,307.715
"193",2023,3,"Frontier Airlines, Inc.",170.939166666667,149.365,64.8614968466532,85,339.25,79.43,121.5,200.93
"194",2023,3,"Jetblue Airways Corporation",200.383580246914,182.36,56.1800142690584,108.81,379.94,56.3,165.72,222.02
