"","year","quarter","statecode1","mean.marketshare","median.marketshare","sd.marketshare","min.marketshare","max.marketshare","iqr.marketshare","q1.marketshare","q3.marketshare"
"103",2019,3,"NC",0.749660784313726,0.7537,0.174773916908023,0.3094,1,0.27685,0.6257,0.90255
"104",2019,3,"NE",0.6618375,0.62765,0.173353404000531,0.4505,1,0.129875,0.5654,0.695275
"105",2019,3,"NJ",1,1,NA,1,1,0,1,1
"106",2019,3,"NM",0.736585185185185,0.797,0.222667625196258,0.3398,1,0.415,0.53375,0.94875
"107",2019,3,"NV",0.635426666666667,0.60785,0.215683471675562,0.3059,1,0.282575,0.498325,0.7809
"108",2019,3,"NY",0.736868936170213,0.7511,0.209090409464566,0.2407,1,0.39845,0.558,0.95645
"109",2019,3,"OH",0.682751369863014,0.657,0.217518626784261,0.2655,1,0.38025,0.5034,0.88365
"110",2019,3,"OK",0.666528571428571,0.6946,0.143243414209121,0.4856,0.853,0.22635,0.54495,0.7713
"111",2019,3,"OR",0.672359090909091,0.6484,0.178927624791199,0.3892,1,0.30325,0.50825,0.8115
"112",2019,3,"PA",0.748146153846154,0.7557,0.204930933956559,0.3935,1,0.3796,0.5996,0.9792
"113",2019,3,"SC",0.7459,0.785,0.196308545407478,0.3724,1,0.3455,0.5774,0.9229
"114",2019,3,"TN",0.714229545454545,0.73205,0.191488840623963,0.3542,1,0.350875,0.54525,0.896125
"115",2019,3,"TX",0.815232404181185,0.9102,0.196529814359836,0.3,1,0.3369,0.64295,0.97985
"116",2019,3,"UT",0.599542857142857,0.6239,0.0648082519731054,0.476,0.6632,0.0546500000000001,0.5811,0.63575
"117",2019,3,"VA",0.591229411764706,0.6598,0.191853898724739,0.3281,1,0.3222,0.384,0.7062
"118",2019,3,"VT",0.917463636363636,0.9903,0.129355496773251,0.6801,1,0.1344,0.8656,1
"119",2019,3,"WA",0.732385714285714,0.73045,0.23149186680228,0.3552,0.9818,0.4173,0.549925,0.967225
"120",2019,3,"WI",0.74447037037037,0.7658,0.186756826288203,0.4157,1,0.33605,0.56575,0.9018
"121",2019,3,"WY",0.602425,0.55455,0.176687169407779,0.4643,0.8363,0.224175,0.4664,0.690575
"122",2019,4,"AL",0.718491666666667,0.7723,0.205495938638946,0.2665,0.9739,0.35475,0.55635,0.9111
"123",2019,4,"AR",0.63816,0.65335,0.201505813942505,0.3785,1,0.276325,0.457975,0.7343
"124",2019,4,"AZ",0.663489655172414,0.6765,0.209856713607893,0.3465,1,0.3319,0.4593,0.7912
"125",2019,4,"CA",0.622770703125,0.59725,0.198218733511234,0.2828,1,0.308825,0.451275,0.7601
"126",2019,4,"CO",0.653118518518519,0.6611,0.204640937022418,0.3115,0.9873,0.33145,0.49305,0.8245
"127",2019,4,"CT",0.630882352941176,0.5556,0.235543701452868,0.3537,0.9987,0.3646,0.4181,0.7827
"128",2019,4,"DC",0.6142,0.4845,0.269566448208971,0.434,0.9241,0.24505,0.45925,0.7043
"129",2019,4,"FL",0.6857504,0.6838,0.191677735099576,0.221,1,0.3073,0.5413,0.8486
"130",2019,4,"GA",0.652197368421053,0.65555,0.164428121956632,0.3807,0.9726,0.252,0.495425,0.747425
"131",2019,4,"IA",0.613311111111111,0.5,0.225093122922332,0.3509,1,0.335625,0.4283,0.763925
"132",2019,4,"ID",0.705683333333333,0.7577,0.204214957306948,0.3363,1,0.302175,0.53965,0.841825
"133",2019,4,"IL",0.75553661971831,0.7668,0.227429256549354,0.343,1,0.44305,0.54135,0.9844
"134",2019,4,"IN",0.685236363636364,0.67435,0.190066132714892,0.3514,1,0.320325,0.53485,0.855175
"135",2019,4,"KY",0.764435714285714,0.81245,0.17865760380013,0.3956,1,0.2286,0.6661,0.8947
"136",2019,4,"LA",0.670221428571429,0.62135,0.160216647452377,0.4244,0.906,0.220525,0.5756,0.796125
"137",2019,4,"MA",0.633460540540541,0.5893,0.209348592454666,0.2682,1,0.3312,0.4756,0.8068
"138",2019,4,"ME",0.9777,0.9757,0.00426731765867039,0.9748,0.9826,0.00390000000000001,0.97525,0.97915
"139",2019,4,"MI",0.62563023255814,0.6136,0.209567989348251,0.2544,1,0.3241,0.47565,0.79975
"140",2019,4,"MN",0.618892857142857,0.57055,0.183439298131292,0.3756,0.8787,0.325575,0.475975,0.80155
"141",2019,4,"MO",0.700624,0.7267,0.154482583376466,0.4325,0.9044,0.2385,0.6044,0.8429
"142",2019,4,"NC",0.764729090909091,0.8088,0.172115772484822,0.3799,1,0.3195,0.6128,0.9323
"143",2019,4,"ND",0.67485,0.67485,0.459831539805612,0.3497,1,0.32515,0.512275,0.837425
