"","year","quarter","statecode1","mean.passengers","median.passengers","sd.passengers","min.passengers","max.passengers","iqr.passengers","q1.passengers","q3.passengers"
"133",2019,4,"IL",666.06338028169,326,908.701530279197,0,5835,744.25,141.25,885.5
"134",2019,4,"IN",289,239,242.20062522038,4,743,421.75,82.25,504
"135",2019,4,"KY",152.642857142857,168,125.160578177277,4,383,203,28.75,231.75
"136",2019,4,"LA",463.285714285714,450,361.733099349279,4,1000,592.25,170.5,762.75
"137",2019,4,"MA",402.843243243243,78,704.786170370805,0,3652,397,28,425
"138",2019,4,"ME",178,228,99.8749217771909,63,243,90,145.5,235.5
"139",2019,4,"MI",385.279069767442,149,508.862612461378,2,1915,473,53.5,526.5
"140",2019,4,"MN",697.642857142857,567.5,698.453523275403,10,2442,967.5,110.25,1077.75
"141",2019,4,"MO",320.68,203,308.024041269509,5,1092,380,83,463
"142",2019,4,"NC",358.418181818182,179,421.075065486441,0,1825,559,46.5,605.5
"143",2019,4,"ND",163,163,140.007142674936,64,262,99,113.5,212.5
"144",2019,4,"NE",172.625,70,196.558924280445,37,568,187,42.5,229.5
"145",2019,4,"NJ",409,409,NA,409,409,0,409,409
"146",2019,4,"NM",191.814814814815,167,191.486098518733,1,828,168,71.5,239.5
"147",2019,4,"NV",833.933333333333,595.5,920.298562249317,8,3343,1128.5,86.5,1215
"148",2019,4,"NY",295.680497925311,73,645.780227058518,0,4645,239,5,244
"149",2019,4,"OH",214.468965517241,81,247.792141139964,0,1042,323,18,341
"150",2019,4,"OK",153,137,114.918811920996,29,317,167,63.5,230.5
"151",2019,4,"OR",310.05,115.5,491.802856844081,1,1708,249.75,21.25,271
"152",2019,4,"PA",464.076923076923,122,550.818400433764,53,1506,594,77,671
"153",2019,4,"SC",140.391304347826,104,156.967438698586,0,688,203.75,15.25,219
"154",2019,4,"TN",246.022222222222,167,319.047267008916,1,1566,250,32,282
"155",2019,4,"TX",416.915254237288,242,486.034036493806,0,3428,454.5,104,558.5
"156",2019,4,"UT",485.142857142857,447,226.188290716259,209,788,362,307,669
"157",2019,4,"VA",98.1176470588235,35,117.82501981378,0,378,143,16,159
"158",2019,4,"VT",79.3333333333333,52,93.3755856742007,0,261,118,1,119
"159",2019,4,"WA",323.916666666667,267,289.710343849393,7,946,464.5,100.25,564.75
"160",2019,4,"WI",163.346153846154,55,216.73226659779,0,751,244,9.25,253.25
"161",2020,1,"AL",81.3461538461538,77,66.1736759188681,1,223,98.75,20.25,119
"162",2020,1,"AR",50.25,24.5,57.7871710923553,0,155,83.5,5.25,88.75
"163",2020,1,"AZ",546.620689655172,375,558.202242777978,42,2462,710,134,844
"164",2020,1,"CA",330.903474903475,71,612.885457218597,0,5496,334,21.5,355.5
"165",2020,1,"CO",504.880952380952,172,646.030664619211,1,2753,825.25,16,841.25
"166",2020,1,"CT",176.176470588235,108,224.792747684984,0,738,194,23,217
"167",2020,1,"DC",375,435,285.76388855137,64,626,281,249.5,530.5
"168",2020,1,"FL",378.384057971014,184.5,525.380784013985,0,2685,374.5,60,434.5
"169",2020,1,"GA",762.921052631579,540.5,726.093039291088,6,2795,1114.75,131.25,1246
