"","year","quarter","lms_carrier_name","mean.passengers","median.passengers","sd.passengers","min.passengers","max.passengers","iqr.passengers","q1.passengers","q3.passengers"
"120",2022,1,"Compania Mexicana De Aviaci",102,78.5,82.3095203658553,25,240,104,35.75,139.75
"121",2022,1,"Delta Air Lines, Inc.",464.442148760331,211,644.043417810662,0,5040,557.75,33.25,591
"122",2022,1,"Frontier Airlines, Inc.",283.925925925926,171,343.531089839929,0,1237,443.5,9,452.5
"123",2022,1,"Jetblue Airways Corporation",671.80303030303,373,722.927174110642,17,2991,623.75,185.75,809.5
"124",2022,1,"Southwest Airlines",219.256097560976,83,315.35017486469,0,3188,268.5,25,293.5
"125",2022,1,"Spirit Airlines, Inc.",200.913043478261,180,176.051364675065,52,916,106.5,112,218.5
"126",2022,1,"Sun Country Airlines",62.6,1,87.8652377223211,0,188,122,1,123
"127",2022,1,"United Air Lines, Inc.",419.028880866426,186,637.307588948217,0,4157,366,66,432
"128",2022,2,"Alaska Airlines, Inc.",916.354166666667,559,993.472686227529,0,4670,1133,226,1359
"129",2022,2,"Allegiant Air LLC ",121.888888888889,92,105.283658492283,0,509,126.5,47.5,174
"130",2022,2,"American Airlines, Inc.",343.789579158317,112,599.635285581562,0,5189,327,15,342
"131",2022,2,"Casino Express",157.5,170.5,67.9963234300208,64,221,106,109.25,215.25
"132",2022,2,"Compania Mexicana De Aviaci",119.5,98,79.3527387231036,25,248,102.25,63.25,165.5
"133",2022,2,"Delta Air Lines, Inc.",584.029787234043,279,813.319180182368,0,6439,740.5,34,774.5
"134",2022,2,"Frontier Airlines, Inc.",341.714285714286,151,406.704226350173,0,1628,453.5,45.5,499
"135",2022,2,"Jetblue Airways Corporation",734.833333333333,464.5,785.072168567422,37,3550,494.25,271,765.25
"136",2022,2,"Southwest Airlines",296.590163934426,117,425.071085003547,0,3252,352,36,388
"137",2022,2,"Spirit Airlines, Inc.",388.289473684211,286,346.380739422617,18,1518,422.25,131.75,554
"138",2022,2,"Sun Country Airlines",39.8,43,42.5699424476942,0,102,54,0,54
"139",2022,2,"United Air Lines, Inc.",576.787234042553,256,809.237251773863,0,4471,531.75,111.25,643
"140",2022,3,"Alaska Airlines, Inc.",935.96,562.5,996.619755545141,1,4700,934.25,266.25,1200.5
"141",2022,3,"Allegiant Air LLC ",120.630769230769,119,88.2837345634038,0,453,122,53,175
"142",2022,3,"American Airlines, Inc.",326.670235546039,103,582.944301287886,0,5329,308.5,14.5,323
"143",2022,3,"Casino Express",151.4,126,74.308815089463,54,234,93,125,218
"144",2022,3,"Compania Mexicana De Aviaci",98.4166666666667,73.5,72.3683234739084,9,204,110,41.5,151.5
"145",2022,3,"Delta Air Lines, Inc.",507.330434782609,224.5,748.935917312012,0,6049,626.25,26.25,652.5
"146",2022,3,"Frontier Airlines, Inc.",312.78125,132.5,364.272384294606,0,1224,459.5,1,460.5
"147",2022,3,"Jetblue Airways Corporation",766.807692307692,490.5,797.46883760624,0,3270,575,270.5,845.5
"148",2022,3,"Southwest Airlines",277.33426183844,114,404.450229980899,0,3246,297.75,37,334.75
"149",2022,3,"Spirit Airlines, Inc.",462.09756097561,419,318.622802454411,54,1237,386,218,604
"150",2022,3,"United Air Lines, Inc.",560.003610108303,257,770.650936500403,0,4419,468,130,598
"151",2022,4,"Alaska Airlines, Inc.",952.367346938776,542,951.665616473681,7,4454,1107,296,1403
"152",2022,4,"Allegiant Air LLC ",124.77358490566,92,90.0612273591681,0,362,122,56,178
"153",2022,4,"American Airlines, Inc.",342.664488017429,127,587.490820017761,0,4721,309.5,26,335.5
"154",2022,4,"Casino Express",139.75,137.5,95.1040783262512,31,266,161.5,56,217.5
"155",2022,4,"Compania Mexicana De Aviaci",76.7857142857143,46.5,71.0083186583186,16,240,68.5,32.5,101
"156",2022,4,"Delta Air Lines, Inc.",530.666666666667,251,676.323863658129,0,3824,664,47,711
"157",2022,4,"Frontier Airlines, Inc.",286.529411764706,44,377.671593374545,0,1480,532,1,533
"158",2022,4,"Jetblue Airways Corporation",980.6,603,1059.79479145729,95,6128,948,315,1263
"159",2022,4,"Southwest Airlines",283.295454545455,111.5,414.196850118241,0,3457,317.5,33,350.5
