"","year","quarter","statecode1","mean.fare","median.fare","sd.fare","min.fare","max.fare","iqr.fare","q1.fare","q3.fare"
"98",2019,3,"ME",272.09125,236.3,83.6865596714482,200.63,413,61.23,223.8675,285.0975
"99",2019,3,"MI",241.526341463415,241.39,68.2603442621006,81.92,383.11,78.91,196.44,275.35
"100",2019,3,"MN",235.713571428571,229.345,53.1849163994603,162.75,327.29,72.6975,206.3425,279.04
"101",2019,3,"MO",244.106153846154,251.365,41.8727193362861,103.27,330.88,41.4725,227.2175,268.69
"102",2019,3,"MT",277.757058823529,278.74,63.3319003114451,163.73,419.31,72.7,237.33,310.03
"103",2019,3,"NC",239.107843137255,230.38,70.6461672934555,97.12,383.75,108.105,185.995,294.1
"104",2019,3,"NE",233.12625,261.79,65.2006112893123,84.86,279.23,52.9450000000001,219.9425,272.8875
"105",2019,3,"NJ",93.99,93.99,NA,93.99,93.99,0,93.99,93.99
"106",2019,3,"NM",248.275925925926,250.3,48.9836434442276,166.27,348.71,84.545,203.06,287.605
"107",2019,3,"NV",211.901,218.165,83.4841094253974,73.72,359.31,147.385,131.72,279.105
"108",2019,3,"NY",257.356638297872,254.75,77.1942202799767,87.95,550.96,107.73,197.895,305.625
"109",2019,3,"OH",233.182808219178,221.27,72.9453396090539,75.3,447.71,104.7,185.6975,290.3975
"110",2019,3,"OK",254.82,262.96,32.0210774334656,195.99,285.73,37.54,240.995,278.535
"111",2019,3,"OR",223.081818181818,215.275,63.7339230623516,89.09,330.26,53.98,192.775,246.755
"112",2019,3,"PA",245.182307692308,291.53,73.7829770513775,87.01,323.46,113.86,188.78,302.64
"113",2019,3,"SC",210.544285714286,205.24,60.7903488433814,90.39,375.45,72.26,173.07,245.33
"114",2019,3,"TN",228.29,237.78,62.5511808674063,72.95,340.83,67.3025,201.3175,268.62
"115",2019,3,"TX",234.941324041812,227.42,49.0933795935776,117.4,406.81,64.265,200.385,264.65
"116",2019,3,"UT",248.575714285714,274.27,73.7958383779517,165.17,342.62,123.495,177.745,301.24
"117",2019,3,"VA",295.883529411765,324.96,95.7482688447405,74.19,497.59,52.15,279.46,331.61
"118",2019,3,"VT",218.237272727273,221.99,56.4212391021163,131.96,344.5,50.955,188.805,239.76
"119",2019,3,"WA",205.817857142857,183.51,72.9599456159728,93.14,352.6,101.8375,149.47,251.3075
"120",2019,3,"WI",258.859259259259,266.49,60.8021102193214,74.95,402.37,69.145,221.06,290.205
"121",2019,3,"WY",461.88,459.45,33.9255174364863,425.33,503.29,40.445,440.4425,480.8875
"122",2019,4,"AL",280.192916666667,266.33,77.3024438265568,191.97,540.88,77.03,229.3875,306.4175
"123",2019,4,"AR",281.8115,282.845,40.6851644078617,165.67,351.35,31.68,269.02,300.7
"124",2019,4,"AZ",227.326551724138,209.15,85.9528538243023,80.16,410,114.39,176.49,290.88
"125",2019,4,"CA",265.72765625,274.01,83.6444246209606,103.4,705.43,110.4175,207.9625,318.38
"126",2019,4,"CO",205.764814814815,202.49,43.1706797197402,109.85,310.28,48.94,178.83,227.77
"127",2019,4,"CT",295.325882352941,319.22,91.1165876815813,166.68,489.23,141.43,204.62,346.05
"128",2019,4,"DC",214.9,212.1,7.54053048531733,209.16,223.44,7.13999999999999,210.63,217.77
"129",2019,4,"FL",243.70576,231.44,72.2171299184038,108.6,519.99,104.23,188.24,292.47
"130",2019,4,"GA",221.200789473684,205.94,62.514458971033,111.71,356.42,80.54,171.56,252.1
"131",2019,4,"IA",260.838333333333,273.73,60.3864469844995,108.92,339.84,43.44,255.3625,298.8025
"132",2019,4,"ID",196.814166666667,194.345,54.0415378050378,93.26,316.47,53.915,168.5975,222.5125
"133",2019,4,"IL",218.478098591549,208.28,54.8967459399801,125.69,540.25,63.73,179.6325,243.3625
"134",2019,4,"IN",244.047727272727,247.17,56.3033673975459,99.15,328.89,68.7725,211.5075,280.28
"135",2019,4,"KY",224.951428571429,225.985,57.1050011089077,89.51,303.61,71.4525,196.025,267.4775
"136",2019,4,"LA",224.498571428571,224.91,36.9600532502827,164.24,281.46,51.07,198.365,249.435
"137",2019,4,"MA",239.312,233.26,54.8673190009119,117,456.5,81,198.5,279.5
"138",2019,4,"ME",192.386666666667,196.5,21.0732658440341,169.56,211.1,20.77,183.03,203.8
"139",2019,4,"MI",241.651395348837,232.13,64.3212253193149,107.94,380.37,95.355,196.53,291.885
"140",2019,4,"MN",235.129285714286,235.85,42.0494857673278,165.89,299.35,50.355,212.875,263.23
"141",2019,4,"MO",253.8652,252.37,31.0740042908323,197.97,320.55,44.49,232.04,276.53
"142",2019,4,"NC",235.161818181818,222.61,70.4993532959808,82.92,379.46,102.315,188.325,290.64
"143",2019,4,"ND",170.905,170.905,100.288954775688,99.99,241.82,70.915,135.4475,206.3625
"144",2019,4,"NE",244.69625,267.19,55.4056572504753,124.9,295.71,50.715,225.56,276.275
"145",2019,4,"NJ",106.01,106.01,NA,106.01,106.01,0,106.01,106.01
"146",2019,4,"NM",250.492592592593,247.73,46.8350619475978,170.25,332.13,78.665,209.16,287.825
"147",2019,4,"NV",213.464666666667,213.315,82.046620503784,69.27,359.59,140.2275,135.7775,276.005
"148",2019,4,"NY",257.865726141079,240.41,84.7315166053421,105.65,815.44,102.18,198.82,301
"149",2019,4,"OH",231.305793103448,218.62,65.071812570474,85.56,398.47,88.26,185.1,273.36
"150",2019,4,"OK",244.711428571429,235.66,31.6724330338816,199.85,287.84,44.705,225.055,269.76
"151",2019,4,"OR",227.174,232.295,57.6586703572708,114.73,330.64,48.22,200.695,248.915
"152",2019,4,"PA",245.763846153846,253.75,73.4623116001738,96.99,341.59,119.69,191.23,310.92
"153",2019,4,"SC",218.868913043478,216.755,56.6488412445288,115.28,385.03,66.3975,180.7125,247.11
"154",2019,4,"TN",226.826666666667,240.23,62.3792814161882,74.57,334.91,69.16,194.79,263.95
