"","year","quarter","lms_carrier_name","mean.miles","median.miles","sd.miles","min.miles","max.miles","iqr.miles","q1.miles","q3.miles"
"69",2020,4,"Allegiant Air LLC ",947.396825396825,911,262.637032722922,276,1574,317.5,774.5,1092
"70",2020,4,"American Airlines, Inc.",1343.9641025641,1209,728.350322442654,190,2724,1363,710,2073
"71",2020,4,"Delta Air Lines, Inc.",1190.21608040201,983,679.697153701717,200,2704,1132,636,1768
"72",2020,4,"Frontier Airlines, Inc.",1119.25,1078.5,472.674986494042,551,1846,431.5,845.5,1277
"73",2020,4,"Jetblue Airways Corporation",1254.19607843137,1118,621.696389553867,285,2704,462.5,893,1355.5
"74",2020,4,"Southwest Airlines",1175.90651085142,1037,643.154925973277,190,2704,958,667,1625
"75",2020,4,"Spirit Airlines, Inc.",1560.4,1855,743.482327583226,192,2619,1217.5,890,2107.5
"76",2020,4,"United Air Lines, Inc.",1207.24436090226,1015.5,698.394712196967,200,2704,1078.75,659,1737.75
"77",2021,1,"Alaska Airlines, Inc.",1264.42857142857,962,749.592097986669,372,2724,1216.5,719,1935.5
"78",2021,1,"Allegiant Air LLC ",979.561643835616,965,261.97540100283,276,1619,298,840,1138
"79",2021,1,"American Airlines, Inc.",1333.72743362832,1180,724.514745926686,190,2724,1262,737,1999
"80",2021,1,"Delta Air Lines, Inc.",1177.16097560976,945,682.496827859485,200,2704,1044,626,1670
"81",2021,1,"Frontier Airlines, Inc.",1325.83333333333,1129.5,475.178036810064,932,2218,331.75,1071.25,1403
"82",2021,1,"Jetblue Airways Corporation",1365.49056603774,1194,610.678992302878,335,2704,493,972,1465
"83",2021,1,"Southwest Airlines",1187.47342192691,1050,630.970741527275,190,2704,955.25,688,1643.25
"84",2021,1,"Spirit Airlines, Inc.",1231.90909090909,1105,648.657298509075,192,2136,999.5,748,1747.5
"85",2021,1,"United Air Lines, Inc.",1162.05327868852,972,674.54605466621,200,2704,1016.75,645,1661.75
"86",2021,2,"Alaska Airlines, Inc.",1154.92857142857,817.5,750.059582048904,372,2724,1005,680.75,1685.75
"87",2021,2,"Allegiant Air LLC ",902.03125,873.5,316.218528454762,276,1874,406.5,674.75,1081.25
"88",2021,2,"American Airlines, Inc.",1277.08082408875,1111,728.165065969501,190,2724,1242,658,1900
"89",2021,2,"Delta Air Lines, Inc.",1160.77586206897,952,669.228942975524,209,2704,931,630.5,1561.5
"90",2021,2,"Frontier Airlines, Inc.",1513.16666666667,1315,723.544999752377,601,2510,911.5,1124.75,2036.25
"91",2021,2,"Jetblue Airways Corporation",1409.015625,1222,730.906905504312,209,2704,1193,989,2182
"92",2021,2,"Southwest Airlines",1204.11178247734,1054,652.558140450972,190,2704,984.5,685.5,1670
"93",2021,2,"Spirit Airlines, Inc.",1205.52380952381,977,635.1405056401,192,2136,1093,753,1846
"94",2021,2,"United Air Lines, Inc.",1069.18181818182,895.5,631.671545499425,209,2619,847,579.5,1426.5
"95",2021,3,"Alaska Airlines, Inc.",1045.36170212766,776,690.428550770302,263,2724,473.5,569,1042.5
"96",2021,3,"Allegiant Air LLC ",946.272727272727,898,343.129737613948,276,1874,407.5,725,1132.5
"97",2021,3,"American Airlines, Inc.",1260.39108910891,1067,733.228867691618,190,2724,1290.75,640.25,1931
"98",2021,3,"Delta Air Lines, Inc.",1105.40310077519,935,627.404294025435,200,2704,823.5,641.5,1465
"99",2021,3,"Frontier Airlines, Inc.",1306.33333333333,1120,548.781464007391,601,2510,673,949.5,1622.5
"100",2021,3,"Jetblue Airways Corporation",1429.36842105263,1222,831.675430956176,192,2704,1417.25,860.75,2278
"101",2021,3,"Southwest Airlines",1232.9,1105.5,670.779128689152,190,2704,1058.25,691.75,1750
"102",2021,3,"Spirit Airlines, Inc.",1468.53333333333,1649,645.145705211141,557,2619,1022.5,902.5,1925
"103",2021,3,"United Air Lines, Inc.",1106.73359073359,910,662.767800540416,200,2619,1009.5,574.5,1584
"104",2021,4,"Alaska Airlines, Inc.",1287.31111111111,962,807.820997898956,421,2724,1639,696,2335
"105",2021,4,"Allegiant Air LLC ",912.433962264151,869,337.707344253637,276,1814,426,668,1094
"106",2021,4,"American Airlines, Inc.",1270.04779411765,1113.5,747.207632676688,190,2724,1364.25,631.75,1996
"107",2021,4,"Casino Express",728.666666666667,751,61.6143922580864,659,776,58.5,705,763.5
"108",2021,4,"Compania Mexicana De Aviaci",700.5,728.5,178.126640343324,487,927,256.25,553.5,809.75
"109",2021,4,"Delta Air Lines, Inc.",1124.50632911392,936,652.97395034768,209,2704,981,606,1587
"110",2021,4,"Frontier Airlines, Inc.",1394.3125,1129.5,499.323237826294,795,2282,722,1055,1777
"111",2021,4,"Jetblue Airways Corporation",1444.75,1223.5,757.578913067021,209,2704,1252.5,978.25,2230.75
"112",2021,4,"Southwest Airlines",1189.15850144092,1049,659.548466564244,148,2704,972,677,1649
"113",2021,4,"Spirit Airlines, Inc.",1483.26666666667,1649,629.496790717641,601,2619,1022.5,902.5,1925
"114",2021,4,"Sun Country Airlines",1754.6,1788,455.344155557091,1276,2213,882,1307,2189
"115",2021,4,"United Air Lines, Inc.",1098.98226950355,909,694.508866409069,148,2704,1048.75,500.25,1549
"116",2022,1,"Alaska Airlines, Inc.",1378.6,978,820.13149766936,263,2724,1627.5,707.5,2335
"117",2022,1,"Allegiant Air LLC ",980.649122807018,971,333.927360109312,276,1984,407,731,1138
"118",2022,1,"American Airlines, Inc.",1236.49404761905,1092,718.089344112222,190,2724,1175,639.25,1814.25
"119",2022,1,"Casino Express",654.75,705,156.158840074244,433,776,154.75,602.5,757.25
"120",2022,1,"Compania Mexicana De Aviaci",647.125,696,199.614226160648,318,917,263.5,493.75,757.25
"121",2022,1,"Delta Air Lines, Inc.",1179.29338842975,984.5,671.471080160103,209,2704,1029.25,641.5,1670.75
"122",2022,1,"Frontier Airlines, Inc.",1298.14814814815,1111,475.655394304589,684,2282,550.5,1007,1557.5
"123",2022,1,"Jetblue Airways Corporation",1460.54545454545,1223.5,727.932946654549,209,2704,1216.25,998.75,2215
"124",2022,1,"Southwest Airlines",1186.35823170732,1035.5,660.258770478064,190,2704,974,677,1651
"125",2022,1,"Spirit Airlines, Inc.",1198.60869565217,998,547.021167874486,192,2136,842.5,860,1702.5
"126",2022,1,"Sun Country Airlines",1728.6,1788,439.278727005986,1276,2300,665,1307,1972
"127",2022,1,"United Air Lines, Inc.",1189.0036101083,1001,727.552799509339,192,2704,1180,570,1750
"128",2022,2,"Alaska Airlines, Inc.",1291.125,970,799.862026000921,263,2724,1639,696,2335
"129",2022,2,"Allegiant Air LLC ",928.428571428571,880,339.961322007121,276,1874,392,704,1096
"130",2022,2,"American Airlines, Inc.",1229.88376753507,1068,735.855040807196,190,2724,1263.5,612.5,1876
"131",2022,2,"Casino Express",769.5,763.5,229.754434124785,433,1127,165.25,682,847.25
"132",2022,2,"Compania Mexicana De Aviaci",664.625,696,174.558985118825,448,927,263.5,493.75,757.25
"133",2022,2,"Delta Air Lines, Inc.",1148.54893617021,936,685.023807020428,209,2700,1070.5,594,1664.5
"134",2022,2,"Frontier Airlines, Inc.",1342.4,1139,582.921859358222,463,2619,807,947,1754
"135",2022,2,"Jetblue Airways Corporation",1348.19444444444,1145,702.309743448964,209,2704,970.25,918.5,1888.75
"136",2022,2,"Southwest Airlines",1147.91803278689,987,648.078770884642,190,2704,943,649,1592
"137",2022,2,"Spirit Airlines, Inc.",1289.63157894737,1080,632.683235761511,192,2619,901.75,842.5,1744.25
"138",2022,2,"Sun Country Airlines",1359,1300,251.167274938436,1124,1788,31,1276,1307
"139",2022,2,"United Air Lines, Inc.",1158.28368794326,923.5,747.931085434074,192,2704,1233,500.25,1733.25
"140",2022,3,"Alaska Airlines, Inc.",1318.12,978,800.025194501232,372,2724,1561,704,2265
"141",2022,3,"Allegiant Air LLC ",977.230769230769,910,396.422035573783,276,2300,407,731,1138
"142",2022,3,"American Airlines, Inc.",1238.21841541756,1041,743.126222854248,190,2704,1315,622.5,1937.5
"143",2022,3,"Casino Express",698,751,166.258834351742,433,871,117,659,776
"144",2022,3,"Compania Mexicana De Aviaci",769.75,666,557.296742401128,318,2449,270.25,487,757.25
"145",2022,3,"Delta Air Lines, Inc.",1182.5652173913,1027,689.557033059381,192,2625,1175.5,627.5,1803
"146",2022,3,"Frontier Airlines, Inc.",1311.96875,1055,615.390591118435,463,2619,954.5,799.5,1754
"147",2022,3,"Jetblue Airways Corporation",1253.07692307692,1102,771.864848697843,192,2704,1170.75,666,1836.75
"148",2022,3,"Southwest Airlines",1172.92200557103,1035.5,649.010014935968,190,2704,945.75,677,1622.75
"149",2022,3,"Spirit Airlines, Inc.",1266.0243902439,1080,665.837611126199,192,2619,953,756,1709
"150",2022,3,"United Air Lines, Inc.",1090.61371841155,895,693.280365698681,192,2625,1157,492,1649
"151",2022,4,"Alaska Airlines, Inc.",1405.69387755102,978,826.160981187525,372,2724,1593,742,2335
"152",2022,4,"Allegiant Air LLC ",896.622641509434,878,282.590981021027,276,1574,331,724,1055
"153",2022,4,"American Airlines, Inc.",1260.26361655773,1118,726.64286847266,190,2704,1312.5,631.5,1944
"154",2022,4,"Casino Express",785.75,763.5,224.459827777075,433,1126,214.5,661.25,875.75
"155",2022,4,"Compania Mexicana De Aviaci",917.214285714286,739.5,582.905346396088,318,2510,243.75,666,909.75
"156",2022,4,"Delta Air Lines, Inc.",1153.53990610329,952,686.360193788198,209,2704,1064,606,1670
"157",2022,4,"Frontier Airlines, Inc.",1457.38235294118,1446.5,556.049704269806,662,2510,930.5,989,1919.5
"158",2022,4,"Jetblue Airways Corporation",1246.94666666667,1102,713.128658520749,209,2704,628,790,1418
"159",2022,4,"Southwest Airlines",1170.56818181818,1021.5,658.067299008673,148,2704,950.25,661.25,1611.5
"160",2022,4,"Spirit Airlines, Inc.",1361.19230769231,1277,730.91903897659,192,2619,1204,756,1960
"161",2022,4,"Sun Country Airlines",1694,1818.5,319.975624071585,1276,1972,514,1427.25,1941.25
"162",2022,4,"United Air Lines, Inc.",1120.16943521595,919,710.390836931343,148,2704,1143,516,1659
